id,ID,food,Caloric Value,Protein,Carbohydrates,Fat,Sugars
204,203,milky way mars,264,2.3,41.3,10.0,34.6
205,204,clif bar,235,10.0,44.5,4.0,21.5
206,205,gum drops,18,0.0,4.4,0.042,3.5
207,206,skittles wild berry mars,249,0.1,56.3,2.6,47.1
208,207,skittles original mars,251,0.1,56.3,2.7,47.0
209,208,skittles tropical mars,251,0.1,56.3,2.7,47.0
210,209,fruit leather,52,0.029,12.0,0.4,6.9
211,210,taffy,60,0.087,13.7,0.5,10.3
212,211,eisbonbons mac iver,23,0.0,0.0,0.0,0.0
213,212,caramels,39,0.5,7.8,0.8,6.6
214,213,hard candy,24,0.0,5.9,0.067,3.8
215,214,jellybeans,4,0.0,1.0,0.043,0.8
216,215,jellies,56,0.005,14.7,0.069,10.8
217,216,wheat germ toasted,115,8.7,14.9,3.2,2.3
218,217,crispy brown rice,124,2.3,27.5,1.1,2.9
219,218,bran flakes asda,109,0.0,0.2,0.6,0.0
220,219,amaranth cooked,251,9.3,46.0,3.9,0.0
221,220,triticale,645,25.1,138.5,4.0,0.0
222,221,barley raw,42,1.2,9.3,0.1,0.094
223,222,bulgur dry,171,6.1,37.9,0.7,0.2
224,223,cottonseed kernels roasted,754,48.6,32.6,54.1,0.0
225,224,rice bran,373,15.8,58.6,24.6,1.1
226,225,chaptti roti indian bread,491,7.0,0.089,2.5,68.4
227,226,quinoa cooked,222,8.1,39.4,3.6,1.6
228,227,dar vida swiss original,116,0.0,0.5,3.1,0.0
229,228,teff cooked,255,9.8,50.0,1.6,0.0
230,229,couscous dry,650,22.1,134.0,1.1,0.0
231,230,weetabix weetabix,2078,0.0,0.0,11.5,0.0
232,231,oat bran cooked,88,7.0,25.1,1.9,0.0
233,232,buckwheat cooked,155,5.7,33.5,1.0,1.5
234,233,millet puffed,74,2.7,16.8,0.7,0.1
235,234,oat bran raw,23,1.3,4.9,0.5,0.1
236,235,popcorn oil popped,64,0.8,5.0,4.8,0.027
237,236,kamut cooked,251,11.1,52.4,1.6,0.0
238,237,wheat bran,125,9.0,37.4,2.5,0.2
239,238,cheese popcorn,58,1.0,5.7,3.7,0.0
240,239,raisin bran crunch kelloggs,90,1.9,21.2,0.5,9.0
241,240,couscous cooked,176,6.0,36.5,0.3,0.2
242,241,multigrain cheerios general mills,4,0.038,1.0,0.005,0.2
243,242,bulgur cooked,151,5.6,33.8,0.4,0.2
244,243,popcorn air popped,31,1.0,6.2,0.4,0.086
245,244,teff raw,708,25.7,141.1,4.6,3.6
246,245,spelt cooked,246,10.7,51.3,1.6,0.0
247,246,millet raw,756,22.0,145.7,8.4,0.0
248,247,popcorn unpopped,106,3.1,20.9,1.2,0.3
249,248,whole wheat cooked,150,4.8,33.2,1.0,0.2
250,249,wheat sprouted,214,8.1,45.9,1.4,0.0
251,250,whole wheat dry,96,3.1,21.1,0.6,0.1
252,251,caramel popcorn,122,1.1,22.4,3.6,15.1
253,252,wheat puffed,44,1.8,9.6,0.1,0.0
254,253,roggenmischbrot sonnenblumenkerne aldi,82,0.0,0.0,3.1,0.0
255,254,wheat germ,112,7.2,16.1,3.0,0.0
256,255,microwave popcorn,465,7.3,49.8,26.3,0.3
257,256,millet cooked,207,6.1,41.2,1.7,0.2
258,257,kamut raw,627,27.3,130.9,4.1,15.2
259,258,wheat durum,651,26.3,136.6,4.7,0.0
260,259,sorghum,651,21.7,143.3,6.3,0.0
261,260,white wheat,657,21.7,145.7,3.3,0.8
262,261,rye,571,17.5,128.2,2.8,1.7
263,262,spelt raw,588,25.4,122.1,4.2,11.9
264,263,buckwheat raw,41,1.6,8.6,0.4,0.0
265,264,honey cereali general mills,104,0.0,3.0,2.0,0.0
266,265,barley cooked,193,3.5,44.3,0.7,0.4
267,266,oats,39,1.7,6.6,0.7,0.0
268,267,amaranth raw,37,1.4,6.5,0.7,0.2
269,268,semolina,601,21.2,121.6,1.8,0.0
270,269,quinoa dry,221,8.5,38.5,3.6,0.0
271,270,wheat shredded,155,5.2,36.2,1.0,0.4
272,271,cattail,5,0.2,1.0,0.0,0.074
273,272,peanut granola bar,116,2.4,15.0,5.7,8.2
274,273,vanilla bluberry bar kind,49,0.0,0.9,1.4,0.096
275,274,coconut granola bar,150,1.5,15.6,9.1,9.7
276,275,almond granola bar,119,1.8,14.9,6.1,0.0
277,276,chocolate chip granola bar,105,1.8,17.3,3.9,0.0
278,277,fruit granola bar,82,1.4,18.6,0.2,13.3
279,278,granola bar,99,2.1,13.5,4.2,6.0
280,279,peanut bar,209,6.2,19.0,13.5,16.9
281,280,milk cereal bar,103,1.6,18.0,2.7,11.5
282,281,almond rice bar,128,2.0,18.1,5.7,0.0
283,282,fruit nut squares,55,0.3,10.3,1.3,6.4
284,283,rice wheat cereal bar,90,2.0,16.0,2.0,7.0
285,284,crisped rice bar,113,1.4,20.4,3.8,0.0
286,285,brown rice raw,685,14.7,142.9,5.4,1.6
287,286,rice pilaf cooked,352,7.0,61.1,8.8,0.6
288,287,beef flavored rice raw,657,19.8,139.1,2.3,0.0
289,288,wild rice cooked,166,6.5,35.0,0.6,1.2
290,289,wild rice raw,571,23.6,119.8,1.7,4.0
291,290,congee with pork shrimp and squid plus egg,178,0.0,0.0,0.3,0.0
292,291,white rice pasta cooked,246,5.1,43.3,5.7,0.0
293,292,chicken flavored rice raw,601,17.9,127.3,2.2,4.0
294,293,instant white rice raw,361,7.4,78.2,0.9,0.026
295,294,rice crisps,107,1.8,24.1,0.4,2.3
296,295,parboiled white rice raw,692,13.9,149.6,1.9,0.6
297,296,instant white rice cooked,193,3.6,41.4,0.8,0.0
298,297,rice pilaf raw,732,21.3,155.7,2.8,3.1
299,298,rice cracker cake,111,2.0,23.0,1.2,0.2
300,299,parboiled white rice cooked,194,4.6,41.2,0.6,0.2
301,300,white rice steamed,199,4.2,44.7,0.4,0.0
302,301,brown rice cake,35,0.7,7.3,0.3,0.047
303,302,glutinous white rice raw,685,12.6,151.1,1.0,0.0
304,303,white rice pasta raw,600,15.3,122.8,4.0,0.0
305,304,glutinous white rice cooked,169,3.5,36.7,0.3,0.078
306,305,brown rice cooked,218,4.5,45.8,1.6,0.7
307,306,beef flavored rice cooked,319,7.0,54.4,7.9,0.0
308,307,white rice cooked,205,4.3,44.5,0.4,0.015
309,308,chicken flavored rice cooked,317,6.2,54.8,8.0,1.5
310,309,white rice raw,675,13.2,147.9,1.2,0.2
311,310,cheese imitation,441,28.3,1.1,36.2,1.1
312,311,cheshire cheese,110,6.6,1.4,8.7,0.0
313,312,monterey cheese,421,27.7,0.8,34.2,0.6
314,313,edam cheese,107,7.5,0.4,8.3,0.0
315,314,fontina cheese,420,27.6,1.7,33.6,1.7
316,315,monterey cheese low fat,350,31.9,0.8,24.4,0.6
317,316,colby cheese,445,26.8,2.9,36.3,0.6
318,317,american cheese,93,4.5,0.9,7.9,0.6
319,318,blue cheese,106,6.4,0.7,8.6,0.2
320,0,nectarine,66,1.6,15.8,0.5,11.8
321,1,kiwifruit gold,51,0.8,12.8,0.2,10.0
322,2,prickly pear raw,8,0.001,1.9,0.072,0.2
323,3,pineapple,45,0.5,11.8,0.1,8.9
324,4,rowan,253,5.2,54.5,4.6,32.1
325,5,muscadine grapes,3,0.014,0.8,0.056,0.0
326,6,heidelbeeren jutro,17,0.0,0.4,0.2,0.0
327,7,prunes stewed,316,3.4,83.2,0.7,0.0
328,8,tangerine,40,0.6,10.1,0.2,8.0
329,9,prunes,237,2.6,62.3,0.5,0.0
330,10,lemon peel,1,0.032,0.3,0.002,0.054
331,11,banana,134,1.6,34.3,0.5,18.3
332,12,raspberries,5,0.1,1.2,0.034,0.4
333,13,apricot,17,0.5,3.9,0.1,3.2
334,14,strawberry guava,4,0.01,1.0,0.008,0.0
335,15,kiwifruit green,42,0.8,10.1,0.4,6.2
336,16,figs,37,0.4,9.6,0.2,8.1
337,17,clementine,35,0.6,8.9,0.1,6.8
338,18,orange,86,1.7,21.6,0.2,17.2
339,19,bartlett pear,112,0.7,26.6,0.3,17.2
340,20,red white currants,63,1.6,15.5,0.2,8.3
341,21,blueberries,84,1.1,21.4,0.5,14.7
342,22,mulberries,6,0.2,1.5,0.049,1.2
343,23,java plum,2,0.034,0.5,0.029,0.0
344,24,prune puree,46,0.4,11.7,0.02,7.0
345,25,applesauce,102,0.4,27.5,0.2,22.9
346,26,blackberries raw,62,2.0,13.8,0.7,7.0
347,27,plum,30,0.5,7.5,0.2,6.5
348,28,american grapes,2,0.035,0.4,0.087,0.4
349,29,peach,59,1.4,14.3,0.4,12.6
350,30,honeydew melon,64,1.0,16.1,0.2,14.4
351,31,yellow plantain fried,399,2.4,68.9,12.7,36.8
352,32,rose hips,206,2.0,48.5,0.4,3.3
353,33,lemons,17,0.6,5.4,0.2,1.5
354,34,lime,20,0.5,7.1,0.1,1.1
355,35,pomegranate,117,2.4,26.4,1.6,19.3
356,36,gooseberries,66,1.3,15.3,0.9,0.0
357,37,asian pear,51,0.6,13.0,0.3,8.6
358,38,abiyuch,157,3.4,40.1,0.2,19.5
359,39,horned melon kiwano,92,3.7,15.8,2.6,0.0
360,40,fruit walnut salad mcdonalds,312,4.8,43.8,13.3,32.9
361,41,grapefruit,53,1.0,13.3,0.2,8.6
362,42,japanese persimmon,118,1.0,31.2,0.3,21.1
363,43,wild raspberries,81,1.5,18.0,0.4,7.2
364,44,pink lady apple,18,0.1,3.9,0.1,0.0
365,45,maraschino cherries,8,0.06,2.1,0.083,1.9
366,46,black currants,71,1.6,17.2,0.5,0.0
367,47,plantain cooked,179,1.2,48.0,0.3,21.6
368,48,crab apple,84,0.4,21.9,0.3,0.0
369,49,pom potes materne,19,0.0,0.2,0.2,0.068
370,50,apple,95,0.5,25.1,0.3,18.9
371,51,cantaloupe melon,60,1.5,14.4,0.3,13.9
372,52,prickly pear cooked,7,0.091,1.6,0.043,0.0
373,53,guava,37,1.4,7.9,0.5,4.9
374,54,strawberries,4,0.01,0.9,0.069,0.6
375,55,japanese persimmon dried,93,0.5,25.0,0.2,0.0
376,56,watermelon,86,1.7,21.6,0.4,17.7
377,57,elderberries,106,1.0,26.7,0.7,0.0
378,58,kumquat,13,0.4,3.0,0.2,1.8
379,59,orange peel,6,0.093,1.5,0.017,0.0
380,60,pokeberry shoots cooked,33,3.8,5.1,0.7,2.6
381,61,breadfruit,227,2.4,59.7,0.5,24.2
382,62,pear,101,0.6,27.1,0.2,17.4
383,63,sour cherries,52,1.0,12.5,0.3,8.7
384,64,plantain raw,218,2.3,57.1,0.6,31.3
385,65,blackberries frozen,97,1.8,23.7,0.6,16.1
386,66,cherries,5,0.068,1.3,0.056,1.0
387,67,plantain fried,16,0.023,2.6,0.6,0.2
388,68,carambola starfruit,26,0.9,5.7,0.3,3.4
389,69,chayote cooked,35,1.0,7.2,0.8,0.0
390,70,apple dippers mcdonalds,33,0.0,8.2,0.0,6.3
391,71,white grapefruit,78,1.6,19.8,0.2,17.3
392,72,cherimoya,176,3.7,41.6,1.6,30.2
393,73,melon balls,57,1.5,13.7,0.4,0.0
394,74,golden delicious apple,62,0.3,14.8,0.2,10.9
395,75,pokeberry shoots raw,37,4.2,5.9,0.6,0.0
396,76,cranberries,21,0.2,5.4,0.014,1.9
397,77,quince,52,0.4,14.1,0.012,0.0
398,78,chayote raw,25,1.1,6.0,0.2,2.2
399,79,orange with peel,100,2.1,24.6,0.5,0.0
400,80,chokecherries,249,4.7,51.8,2.6,14.4
401,81,mango,202,2.8,50.3,1.3,45.9
402,82,wild plum,147,0.7,35.3,0.3,17.1
403,83,jeijoa,148,1.7,37.0,1.0,19.9
404,84,groundcherries,74,2.7,15.7,1.0,0.0
405,85,pesca,30,0.0,0.0,0.1,0.0
406,86,persimmon,32,0.2,8.4,0.1,0.0
407,87,grapes,3,0.045,0.9,0.044,0.8
408,88,rambutan canned,175,1.4,44.7,0.4,0.0
409,89,figs canned,14,0.1,3.8,0.039,3.2
410,90,prunes canned,246,2.0,65.1,0.5,0.0
411,91,pineapples canned,28,0.2,7.4,0.05,6.8
412,92,prune plums canned,27,0.2,7.0,0.075,6.5
413,93,tangerines canned,92,1.5,23.8,0.1,22.1
414,94,fruit cocktail canned,109,1.1,28.1,0.053,25.7
415,95,sour cherries canned,189,1.9,48.6,0.3,0.0
416,96,mangosteen canned,143,0.8,35.1,1.1,0.0
417,97,apricot juice,117,1.5,30.1,0.07,26.2
418,98,strawberries canned,234,1.4,59.8,0.7,55.4
419,99,peach canned,110,1.6,28.9,0.094,25.7
420,100,fruit salad canned,125,1.3,32.5,0.008,0.0
421,101,gooseberries canned,184,1.6,47.3,0.5,0.0
422,102,grapefruit canned,88,1.4,22.3,0.2,21.4
423,103,pear canned,38,0.3,9.8,0.001,7.4
424,104,raspberries canned,233,2.1,59.8,0.3,51.4
425,105,papaya canned,80,0.001,21.8,0.2,20.4
426,106,grapes canned,98,1.2,25.2,0.3,23.8
427,107,apple dried,145,0.6,39.1,0.2,34.0
428,108,peach dried,199,3.0,50.8,0.6,43.8
429,109,plantain chips,150,0.6,18.1,8.4,0.3
430,110,golden raisins,498,5.6,131.2,0.8,97.7
431,111,raisins seeded,488,4.2,129.5,0.9,0.0
432,112,zante currants dried,408,5.9,106.7,0.4,96.9
433,113,pear dried,94,0.7,25.1,0.2,22.4
434,114,raisins,90,1.0,23.8,0.056,19.6
435,115,prune plums dried,308,2.7,81.5,0.5,0.0
436,116,cranberries dried,370,0.053,98.8,1.6,78.0
437,117,figs dried,21,0.3,5.4,0.008,4.0
438,118,longans dried,5,0.027,1.3,0.091,0.0
439,119,banana chips,147,0.7,16.5,9.5,10.0
440,120,lychee dried,7,0.01,1.8,0.003,1.7
441,121,apricot dried,17,0.2,4.4,0.015,3.7
442,122,longan,2,0.009,0.5,0.076,0.0
443,123,mamey sapote,217,2.5,56.2,0.8,35.2
444,124,waxgourd cooked,19,0.7,4.3,0.4,2.1
445,125,jackfruit,33,0.6,8.1,0.2,6.7
446,126,loquats,9,0.09,2.4,0.071,0.0
447,127,mammy apple mamey,431,4.2,105.8,4.2,0.0
448,128,nance,82,0.7,19.0,1.3,9.3
449,129,coconut whole coconut,3336,0.0,0.0,71.5,0.0
450,130,prickly pear,42,0.8,9.9,0.5,0.0
451,131,lychee,6,0.024,1.6,0.016,1.5
452,132,naranjilla lulo pulp,30,0.5,7.1,0.3,4.5
453,133,coconut meat dried,187,1.9,6.7,18.3,2.1
454,134,waxgourd raw,17,0.5,4.0,0.3,0.0
455,135,surinam cherry pitanga,2,0.045,0.5,0.059,0.0
456,136,passion fruit,17,0.4,4.2,0.1,2.0
457,137,sapodilla,141,0.7,33.9,1.9,0.0
458,138,pummelo,48,1.0,12.0,0.06,0.0
459,139,coconut meat,1405,13.2,60.5,133.0,24.7
460,140,soursop,149,2.3,37.9,0.7,30.5
461,141,papaya,62,0.7,15.7,0.4,11.3
462,142,acerola cherry,2,0.079,0.4,0.052,0.0
463,143,ohelo berries,39,0.5,9.6,0.3,0.0
464,144,loganberries,81,2.2,19.1,0.5,11.3
465,145,casaba melon,48,1.9,11.2,0.2,9.7
466,146,durian,51,0.5,9.5,1.9,0.0
467,147,coriander leaves raw,4,0.3,0.6,0.086,0.1
468,148,garden cress raw,3,0.2,0.5,0.062,0.4
469,149,pasilla peppers dried,24,0.9,3.6,1.1,0.0
470,150,parsley dried,1,0.1,0.3,0.096,0.073
471,151,ancho pepper dried,48,2.0,8.7,1.4,0.0
472,152,coriander seeds,5,0.2,1.0,0.3,0.0
473,153,dill weed dried,253,20.0,55.8,4.4,0.0
474,154,borage,19,1.6,2.7,0.6,0.0
475,155,epazote,0,0.059,0.094,0.06,0.0
476,156,chives dried,1,0.013,0.1,0.055,0.0
477,157,thyme fresh,1,0.091,0.2,0.068,0.0
